File,Ground_Truth,Stage1_Analysis,Stage2b_Literal,Final_Prediction,CER,WER
100383_img001.jpg,"T M I Tarr
l
ano a 1768
Despinto
m Joseph santos Cabrera.
N.5
CONTRATACION 5660. N. 4
A
S. de Camara
Xn. Juan Ant. de Monte","The document is written in Spanish, using a cursive script that suggests it is from the 17th or 18th century. The handwriting is moderately legible, with some stylistic flourishes typical of the period. There are no visible margin notes, crossed-out words, multiple columns, or stamps on the page.","J. M. S. Carlos
año de 1668
Defunto
M. Joseph santos
Cabreira.
N. S.
CONTRATACION, 5660. N. 4
O. de Camara
D. Juan Ant. de Monte","J. M. S. Carlos  
año de 1668  
Defunto  
M. Joseph Santos  
Cabreira.  
N. S.  
CONTRATACION, 5600. N. 4  
O. de Camara  
D. Juan Ant. de Monte",0.3577,1.0556
100383_img002.jpg,Imagen en blanco,"The language used is Spanish, as indicated by the words ""imagen en blanco."" The handwriting appears to be modern and legible, with no special features such as margin notes, crossed-out words, multiple columns, or stamps. The style suggests it could be from the late 20th or early 21st century.","Imagen
en blanco
CONTRATACION,5660,N.4
© Archivos Estatales, https://pares.cultura.gob.es
AE
ARCHIVOS
ESTATALES","Imagen en blanco
CONTRATACION, 5660, N. 4
© Archivos Estatales, <https://pares.cultura.gob.es>
AE
ARCHIVOS
ESTATALES",6.2500,2.3333
100383_img071.jpg,"SIGELLO QUARTO, AÑO DE MIL SETECIENTOS Y SETENTA Y OCHO.
A residente y escribano por su Mag. en su R. Audiencia y
Comandancia, y a Indias de esta Ciudad de Cadiz.
A los señores jueces y justicia de la Ciudad de Pn [incompleto]
...senarían en Vizcaya, hacemos saber que por la
Capitanía general de Caracas fecho 16 minuado á esta
R. Aud. Testimonio de los autos formados con motivo
del fallecimiento abintestato en el curato de Dn Joseph
Barrios Cabrera como juzgo de la R. Expe dición de
limites de la linea divisoria entre esta Corona y
la de Portugal en cuya virtud por el Sr. Fiscal de esta
R. Aud. se presentó un escrito el dicho vecino y en el
de Julio del presente año queda conforme el testimonio
que del precedente se la toma es el siguiente.
El Fiscal de Su Mag en oficio del Testimonio de
autos Minuado por la Capitanía general de Cara-
cas con motivo del fallecimiento abintestato en
rínoca el día cinco de Mayo de mil setecientos cinc
- cinc de Dn Joseph Barrios Cabrera como juzgo
de la R. Expedición de limites de la línea divi
soria entre esta Corona y la de Portugal, dice.
Que aunque de dicho testimonio no consta en manera
alguna la Florida, P.P.n. Hexedero del referido.","The document is written in Spanish, using a cursive script typical of the 17th or 18th century. The handwriting is moderate in legibility, with some parts clearer than others. There are margin notes, crossed-out words, and a stamp at the top left corner, indicating it might be an official document.","SELLO QVARTO, AÑO DE
MIL SEISCIENTOS Y SE-
SENTA Y OCHO.
Para defensa de oficio quatro mfs.
El mandame y ordene por Su Ullas en cuyo R. Audencia
Coronada Fia Anual de uno Cuidad de Cadiz.
A los Sen. Dn. Juseo Juncias dela Ciudad de
Sevillana en Vizcaya, hazemos Causa luego la
Capitanía general de Caracas Seño Nominado á esta
R. Aud. Testimonio de los anos formados Con motivo
del fallimiento administrativo en el archivo de D. Joseph
Santos Cabrera Comogrofo del R. Expedicion de
Limites dela Línea divisoria entre esta Corona y
la de Portugal en Cuyo Vencid por el R. Enca Santa
R. Aud. Se presentó un Escrito el día Veinte y siete
de Julio del presente año quedo Athenor y el del anno
que el proximo ála basta es el Sigueniente
Escrito fecho Al Zocal de Su Ullas en Oficio del Testimonio de
anos Nominado por la Capitanía general de Cara-
cas Con motivo del fallimiento administrativo en
varios el dia Cinco de Mayo de Seiscientos Cinco
y once de D. Joseph Santos Cabrera Comogrofo
del R. Expedicion de Limites dela Línea divi-
soria entre esta Corona y la de Portugal dese
Luc arrique de lo Testimonio no Contrua en manera
alguna la Paua P.P. ni Herederos del Siguedo
CONTRATACION, 5660.114
© Archivos Estatales, https://pares.cultura.gob.es","SELLO QUARTO, AÑO DE MIL SEISCIENTOS Y SESENTA Y OCHO.

Para defensa de oficio cuatro mfs.

El mandame y ordene por Su Ulla en cuyo R. Audencia Coronada Fía Anual de uno Cuidad de Cádiz.

A los Sen. Dn. José Juncias de la Ciudad de

Sevilla en Vizcaya, hazemos causa luego la

Capitanía general de Caracas Señor Nominado á esta

R. Aud. Testimonio de los años formados con motivo

del fallimiento administrativo en el archivo de Don José

Santos Cabrera Comisario del R. Expedición de

Límites de la Línea divisoria entre esta Corona y

la de Portugal en Cuyo Venció por el R. Enca Santa

R. Aud. Se presentó un Escritorio el día Veinte y siete

de Julio del presente año quedó Athenor y el del año

que el próximo á la basta es el Sigueniente

Escrito fecho Al Zocal de Su Úlla en Oficio del Testimonio de

años Nominado por la Capitanía General de Caracas

Con motivo del fallimiento administrativo en

varios el día Cinco de Mayo de Seiscientos Cincuenta

y once de Don José Santos Cabrera Comisario

del R. Expedición de Límites de la Línea divisoria

entre esta Corona y la de Portugal dese

Lucarrique de lo Testimonio no Contruya en manera

alguna la Pausa P.P. ni Hérfederos del Siguedo",0.3322,0.6429
100383_img104.jpg,"Con el mismo termino, y aprecion, que el actual
lo mandaron los Senores Presidentes y oidores
 de la Real Audiencia y Camara
a Indias en Cádiz á onze de Noviembre de mil setecientos sesenta y
dos, testó Juan de la Moneda.
Como más extenso reza de referido el dicho
Autos y lo procurado con su origen
y sello de que es Inferiorazgo, escribano de
Camara de fe, y para que tenga efecto lo pedido
por el Sr. Fiscal y se nos mande expedido el
Informe a otros Senores Jueces y Audidores de la dicha Audiencia
a fin de que luego que lo recivan se
tuban mandado cumplir y en su consecuencia que
se solucione y haga saver a la Sr. Josepha Antonia
y Juana derecha del dicho difunto Sr. Joseph San-
ton Cabrera, y demás testigos o personas que puedan
tenerlo a sus vienes que dentro del termino de
sesenta dias que le tenemos asignado ocurran en
una Real Audiencia por ello, y por medio de registrado
comparecer con poder y justificacion de lo actuado. Comprometen-
dose sus personas a traer de su dedo como les corberga sobre el pernito de dicha Audiencia y no pudiendo
ser hallados se fijen edictos en los sitios publicos
y acostumbrados, cursando y llamandolos para","The document is written in Spanish, using a cursive script typical of the 17th or 18th century. The handwriting is moderately legible, with some words and phrases more clearly written than others. There are margin notes, crossed-out words, and no stamps or drawings present.","Con el mismo termino y aprestamiento que lo mandaron los Hon. Senadores y Diputados
DE LA R. Aud. & Contratac. en Indias en
Cádiz a onze de Nov. de mill Setecientos
Veintiuno que habiendo Juan Ana de Monroy
Como mas extranjero, pasado referido de ocho
años, lo ocupado Comando con sus otros
sujetos de que de Infanteria y Caballería
Camara de fez, y para que tenga efecto lo pedido
por el Sr. Fiscal y a Nos mandado expedimos el
presente a Otros Sen. Jueces y Justicia de su
Cádiz, para que desde luego que lo Reciban
Se suban mandarlo Cumplido y en su Consecuencia que
se Solicite y haga Naveg. a la D. Josepha Anaonica
& Juancha Quiela del dicho difunto D. Josephe Sanchez
Cabreiro y demas Credores ó Personas que dentro del Término
de sesenta dias que tenemos asignado o quieran en
cuyo caso por medio de Audiencia por si ó por medio de Apoderado
Componer y satisfacer de la misma Compeñencia
de Sus personas ó Usar de Su derecho como les Compen-
sa sobre el pago de dicho Credito, y no pudiendo
ser hauidos Señoren Cabreiro en los Sitios publicos
y ausentados, Cuandolos y llamandolos para
CONTRATACION,566011.4
© Archivos Estatales, https://pares.cultura.gob.es","Con el mismo término y aprestamiento que lo mandaron los Hn. Senadores y Diputados
de la R. Aud. y Contratac. en Indias en Cádiz a once de Nov. de mill Setecientos Veintiuno
que habiendo Juan Ana de Monroy
Como más extranjero, pasado referido de otoño
años, lo ocupado Comandó con sus otros sujetos de que de Infantería y Caballería
Cámara de fez y para que tenga efecto lo pedido por el Sr. Fiscal y a Nos mandó expedirnos el
presente a Otros Sen. y Jueces y Justicia de su Cádiz para que desde luego que lo Reciban
se suban mandarlo Cumplido y en consecuencia que se Solicite y haga Navegación a la D. Josepha Anaonica
y Juancha Quiela del dicho fallecido D. Josephe Sanchez Cabreiro y demás Credores ó Personas que dentro del término
de sesenta días que tenemos asignado o quieran en cuyo caso por medio de Audiencia por si o por medio de Apoderado
Componen y satisfacen de la misma Compañía
de sus personas ó Usar de su derecho como les Compensa sobre el pago de dicho Crédito, y no pudiendo
ser hallados Señores Cabreiro en los Sitios públicos y ausentados, Cuándolos y llamándolos para",0.3898,0.6263
100383_img028.jpg,"xio de accidente epidemico de escorbuto, y por tal segun orden de Su Magestad debe quemarse todo quanto aya recelo pues causa perjuicio á los vivientes; y para que el Señor Comandante D. Eugenio de Albarrado dé la orden conveniente al beneficio publico firmo esta de mi mano en el Real Presidio de Guayana hoi veinte y seis de Mayo de mil setecientos cinquenta y cinco - Antonio Alvarez En fuerza de esta Certificacion pasara a quemar todas las piezas que contiene esta lista el propio Cirujano Certificante con intervencion del Cosmografo D. Joseph Mariano Monnroy, como encargado de mi orden de recoger los muebles pertenecientes al Rey, que tenia el defunto; y luego que se haia hecho la quema ponera, a continuacion de esta orden la Certificacion de haverse avia ejecutado. Guayana, 26 de Mayo veinte y seis de mile setecientos cinquenta y cinco - D. Eugenio de Albarrado. Certifico haverse hecho esta quema...","The document is written in Spanish, using a cursive script that suggests it was written in the 18th or early 19th century. The handwriting is moderate in legibility, with some words more clearly written than others. There are no special features such as margin notes, crossed-out words, multiple columns, or stamps visible in the image.","xió de accidente epidémico desconocido,
y por tal según orden de Su Magestad
debe quemarse todo quanto aquí recelo pue-
sa ser perjuicio a los vivientes; y para
que el Señor Comandante D. Eugenio de
Albarado de la orden conveniente al be-
neficio publico firmo esta seminano enel
Real Presidio de Huayana hoi veinte, y
seis de Mayo de mil setecientos cincuen-
ta y cinco= Antonio Alvarez
En fuerza de esta Certificación pasará a
quemar todas las piezas, que contiene esta
lista el propio Orifusano Certificante con
intervencion del Cosmografo D. Joseph
Mariano Monroy, como encargado de
mi orden de recoger los muebles pertene-
cientes al Rey, que tenía el defunto; y luego
que se haia hecho la quema pondrá a con-
tinuacion de esta orden la Certificación
de haberse aqui executado. Huayana, y
Mayo Veinte, y seis de mil setecientos
cincuenta y cinco= D. Eugenio de Al-
barado.
Certifico haberse hecho esta quema","xío de accidente epidémico desconocido,  
y por tal según orden de Su Magestad  
debe quemarse todo quanto aquí recelo pueda  
ser perjuicio a los vivientes, y para  
que el Señor Comandante Don Eugenio de  
Albarado de la orden conveniente al bene-  
ficio público firmo esta seminano en el  
Real Presidio de Huayana hoy veinte, y  
seis de Mayo de mil setecientos cinquan-  
ta y cinco = Antonio Álvarez  
En fuerza de esta certificación pasará a  
quemar todas las piezas que contiene esta  
lista el propio orifusano certificante con  
intervención del Cosmógrafo Don Joseph  
Mariano Monroy, como encargo de mi  
orden de recoger los muebles pertene-  
cientes al Rey que tenía el defunto; y luego  
que se haya hecho la quema pondrá a con-  
tinuación de esta orden la certificación  
de haberse aquí ejecutado. Huayana, y  
Mayo Veinte y seis de mil setecientos  
cincuenta y cinco = Don Eugenio de Al-  
barado.  
Certifico haberse hecho esta quema",0.1466,0.3742
100383_img067.jpg,"SELLO QUARTO, AÑO DE MIL SETECIENTOS Y 58.
De la M. en vista del testimº de aut. remitido por la Capitanía Gral de costas con motivo del fallecimº del interesado en dõ cinco el dia 5 de mayo de 1755 Dn. Iphān Cabrera Comodoro de la Rl. Expedición de límites de la línea divisoria entre esta costa y la de Portugal. Dice y da cuenta de otro testim. no escrito en maraca algn. a la Patria, P. P. m. heres. del referido: ni tampoco se haya hecho remisa de dho. algº por los motivos q. se resultan de los aut. no obstante expresando la causa de oficio q. se halla testemunada en este distrito al parecer natural de snº Ievanstán casado con Dña N. Guardia y q. su madre o suegra se nombraba Dña Luisa de Herrero. Y conforme igualmente del estado testim. alcanzax al distrito ala Rl. Hacienda por razon de sus sueldos devengados hasta el dia de su fallecim. en la cantidad de 580 ps 4 rs y 22 mrs q. no se remitio por q. no haver caudales en casa con aquel","The document is written in Spanish, using a cursive script typical of the 17th or 18th century. The handwriting is moderate in legibility, with some words and phrases more clearly written than others. There are no visible margin notes, crossed-out words, or multiple columns, but there are stamps at the top and bottom of the page.","SOLICITARIO, AÑO DE
MIL SEISCIENTOS Y SESENTA Y OCHO.
El Testim. de l. M. en vista del testimonio de
aut. remitido p. la Capitanía General de casa
cas con motivo del fallecimiento intestato en
Oxinas, el día 5 de mayo de 1755 de Dn. Joaquin
fue Caballero Comendador de la R. Expedición
de Límites de la línea del Norte entre esta co
lónia y la de Portugal. Dice que aqu. de otro
Testimonio consta en manera alg. la Patria
P. P. m. hered. Del Testim. ni tampoco se haya
hecho remesa de dinero alg. p. los motivos que se
sustan de los aut. no obstante expresando la causa
de Oficio que se halla testimoniada ser este
dif. al parecer nat. de S. Sebastián Casado
con Dn. N. Guardia y q. Su madre o suegra
le nombrada Dn. Luisa de Herreno. Acompa
ñado igualm. del citado testim. Alcanzó el dif.
a la R. Hacienda p. razón de sus sueldos de
vengados hasta el día de su fallecimiento en la can
tidad de 580 p. Vaz. y 22 mar. q. no se remitió
por q. no haber Caudales en casa con aquel
© Archivos Estatales, https://pares.cultura.gob.es","Solicitario, año de
mil seiscientos y sesenta y ocho.
El Testim. de l. M., en vista del testimonio de
autor remitido por la Capitanía General de casa
cas, con motivo del fallecimiento intestato, en
Oxinas, el día 15 de mayo de 1755, de Dn. Joaquín
fue Caballero Comendador, de la Real Expedición
de Límites, de la línea del Norte, entre esta colonia
y la de Portugal. Dice que aquél, de otro
Testimonio, consta en manera alguna, la Patria
P. P. m., hered. Del Testim. ni tampocó se haya
hecho remesa de dinero alguno, por los motivos que se
sustancian de los autores. No obstante, expresando la causa
de Oficio, que se halla testimoniada, ser este
difunto, al parecer, nativo de San Sebastián, Casado
con Don N. Guardia, y que su madre o suegra
le nombrada Don Luisa de Herreno. Acompañado
igualmente del citado testimonio. Alcanzó el difunto
a la Real Hacienda, por razón de sus sueldos de vengados,
hasta el día de su fallecimiento, en la cantidad de 580 p. Vaz.
y 22 mar. que no se remitió, por que no haber Caudales en casa con aquel.",0.3221,0.6250
100383_img115.jpg,"Para despachos de oficio quarto más.
SELLO QUARTO, AÑO DE MIE
SETECIENTOS Y SETENTA Y
TRES.
Josepha Anta e Guardia viuda de D.ph
Santos Cabrera se alcance en vuelto, y
sex ente el unico caudal que resulta haver
quedado por su fallecimiento. Buelvan estos autos
ala este de cámara donde se custodien a
los efectos q[ue] haya lugar: Es mandaron los
N. Pres. y Oidores de la RL. Audti. e Contratacion
a Ind. en cadiz a veinte y tres de Abril
mil setecientos setenta y tres.","The document is written in Spanish, using a cursive handwriting style typical of the 17th or 18th century. The legibility is moderate, with some parts slightly difficult to read due to the cursive nature of the script. There are no margin notes, crossed-out words, or multiple columns; however, there is a stamp at the top left corner and a signature at the bottom right.","Para despachos de oficio quatro mts.
SELLO QVARTO, AÑO DE MIE
SETECIENTOS Y SETENTA Y
TRES.
Dorotha Ant. I Guardia viuda D. Joh
Santos Cabreza el Alcance en vuelo, y
sex este el unico caudal que resulta haver
quedado por su fallecimiento. Buelvan estos autos
ala est. de Camara, donde se custodien á
los efectos q. haya lugar: Es mandaron los
N. Presb. y Obis. dela M. Audi. & Contratacion
a Ind. en Cadiz á veinte y tres de Abril
mil setecientos setenta y tres
S. Valladiego","Para despachos de oficio cuatro mts.
SELLO QUARTO, AÑO DE MIL
SETECIENTOS Y SESENTA Y
TRES.
Dorotha Antonia Guardia viuda de D. Juan
Santos Cabreza el alcance en vuelo, y
sexiste el único caudal que resulta haber
quedado por su fallecimiento.Buelvan estos autos
ala est. de Cámara, donde se custodien a
los efectos que haya lugar: Es mandaron los
N.Presb. y Obis. de la M. Audi. & Contratación
a Ind. en Cádiz a veinte y tres de Abril
de mil setecientos setenta y tres
S.Valladiego",0.1362,0.4324
100383_img070.jpg,Imagen en blanco,"The language used is Spanish, as indicated by the words ""imagen en blanco."" The handwriting appears to be modern and legible, with no special features such as margin notes, crossed-out words, multiple columns, or stamps. The style suggests it could be from the late 20th or early 21st century.","Imagen
en blanco
CONTRATACION,5660,N.4
© Archivos Estatales, https://pares.cultura.gob.es
AE
ARCHIVOS
ESTATALES","Imagen en blanco
CONTRATACION, 5660, N. 4
© Archivos Estatales, <https://pares.cultura.gob.es>
AE
ARCHIVOS
ESTATALES",6.2500,2.3333
100383_img110.jpg,"Quí Señor mío. Haviendo practicado las diligencias con duciento á efecto de lo que V. S. intimá con su Carta de diez y siete de Enero último, y el despacho que acompa- ñaba, y se dirijon á inquirir la Pazúr, y herederos de Don Joseph Santos Cabrera, que falleció habitante en el Quinco, hallamos caucadá esta dependencia, y en todo finalizado su contento, como lo acredita el testi- monio que acompaña: Por lo que entendemos haver cum- plido con la comision que V. S. se sirvió encargaros. Con este motivo nos ofrecemos a la disposición de V. S. con el mas fino afecto Rogando á nao","The document is written in Spanish, using a cursive script typical of the 17th or 18th century. The handwriting is moderately legible, with some words and phrases more clearly written than others. There are margin notes, crossed-out words, and a signature at the bottom, but no stamps or drawings are present.","Su Senor mio. Hauiendo practicado las diligencias con
ducentes a efecto de lo que V. S. instruia en su Carta de
diez y nueve de Enero octavo, y el despacho que acompa
ñaba, se dividió a inquirir la patria, y herederos de
Don Joseph Santos Cabeza, que falleció habiendo estado
enel Olimpo, hallamos cualquiera esta dependencia, con
todo finalizando su contenido, como lo acredita el testi
monio que acompaña: Por lo que entendemos hauea cam
pido con la comision que V. S. se sintió encargarnos.
Con este motivo nos ofrecemos ala disposicion
V. S. con el mas fino afecto rogando a no
© Archivos Estatales, https://pares.cultura.gob.es","---
Su Senor mio. Hauiendo practicado las diligencias con
ducientes a efecto del que V. S. instruía en su carta de
diez y nueve de Enero octavo, y el despacho que acompañaba,
se dividió a inquirir la Patria, y herederos de
Don José Santos Cabezón, que falleció habiendo estado en el Olimpo,
hallamos cualquiera esta dependencia, con todo finalizando su contenido,
como lo acredita el testimonio que acompaña: Por lo que entendemos
hauea campeado con la comisión que V. S. se sintió encauzarnos.
Con este motivo nos ofrecemos a la disposición
V. S. con el más fino afecto rogando a no
---

© Archivos Estatales, <https://pares.cultura.gob.es>
---",0.2869,0.5472
100383_img006.jpg,"Cabeza de este Auto, y que visto y podrón- tenido se le hiciere saber el referido Sr. Joseph Monnoy, para que luego se pase á la forma- cion de los citados Inventarios. Y por este aso lo proveo, y firmó su merced, se que doy en fée en papel común, por no contar Sellado = Juan Valdes = Antonio Jacinto de Mier, Escrivano público.
Luego incontinente yo el presente Escriba- no ayuiendo subixado la Carta, que se ex- presa en el Auto antecesente se lo hice co- nocer á Dn. Joseph Monnoy en su presencia, y que doi fée. De Mier, Escribano
Inventario de bienes.
Inventario, que en virtud de lo proveido arrí- ba, y de lo para ello dispuesto formó el dicho Señor Comandante, y Teniente Gobern- ador Dn. Juan de Dios Valdés advisado con el Consomagrapho Dn. Joseph Monnoy de los bienes, que generalmente se hallaron en la Cava, que era de la habitación de Dn. Joseph Santos de Cabrera Consmo- grato de la Real Expedición, así de los pertenecientes a dicho difunto, como de las alhajas, y Instrumentos, Libros, Ma-","The document is written in Spanish, using a cursive script that suggests it was written in the 18th or 19th century. The handwriting is moderately legible, with some words and phrases more clearly written than others. There are no margin notes, crossed-out words, multiple columns, or stamps visible in the image.","Cabeza de este Auto, y que uno, y otro con-
tenido se le huiese saber al referido Fr. Joseph
Monroy, paraque luego sepase la forma-
cion de los citados Inventarios. Y porque
así lo proveio, y firmó su merced, se que soy
en fee en papel comun, porque conoz Señor
Juan Valdés = C. Antonio Facinho de Mier
Escriviano publico.
Diligencia:
Luego incontinenti yo el presente Escrivia-
no auiendo rubricado la Carta, que se exp-
resa en el Auto antecedente velo hici sa-
ber a Fr. Joseph Monroy en Supersona,
que que vai feé= De Mier, Escriviano
Inventario de Inventario, que en virtud velo proveido arri-
baba, y de lo paraello dispuesto formó el Oicho
Señor Comansante, y Heniente de Gover-
nador Fr. Juan de Dios Valdés avociado con el
Consomographo Fr. Joseph Monroy de
los bienes, que generalmente se hallaron
en la Cava, que era de la habitacion de
Fr. Joseph Santos de Cabrera Consomo-
grapho de la Real Eppedicion, assi de los
pertencientes al oicho difunto, como de
las alhajas, y Instrumentos, Libros ella-
do Comon","Cabeza deste Auto, y que uno, y otro contenido se le huiese saber ao referido Fr. Joseph Monroy, para que luego sepase la formación de los citados Inventarios. Y porque así lo proveió, y firmó su merced, sé que soy en fe en papel común, porque conoz Señor Juan Valdés, = C. Antonio Facinho de Mier, Escriviano publico.

Diligencia:
Luego incontinenti, yo el presente Escrivano auiendo rubricado la carta, que se expresa en el Auto antecedente, velo hici saber a Fr. Joseph Monroy en Supersóna, que que vai feé = De Mier, Escriviano.

Inventario de Inventarios, que en virtud velo proveído arribaba, y de lo paraello dispuesto, formó el Oicho Señor Comandante, y Heniente de Governador Fr. Juan de Dios Valdés, avociado con el Consomographo Fr. Joseph Monroy, de los bienes, que generalmente se hallaron en la Cava, que era de la habitación de Fr. Joseph Santos de Cabrera, Consomographo de la Real Expedición, así de los pertenecientes al oicho difunto, como de las alhajas, y Instrumentos, libros ella-do Comon.",0.1778,0.4722
