File,Ground_Truth,Stage1_Analysis,Stage2b_Literal,Final_Prediction,CER,WER
Rodrigo_00308_11.png,padre fue estonces bernardo al rei. E pidiole por merced,"The document is written in Latin script, likely from the medieval or early modern period, judging by the style of handwriting. The legibility is moderate, with some words being more difficult to decipher than others. There are no special features such as margin notes, crossed-out words, multiple columns, or stamps visible in the image.",padre' fue entonces bernardo al rei. Epidiole por merced,padre' fue entonces bernardo al rey. Epidiole por merced,0.0714,0.5000
Rodrigo_00200_06.png,"ningun mal ni daño, Mas que le hiziera mas bien. E mas al","The language is Spanish, and the script appears to be from the late medieval to early modern period, likely between the 15th and 17th centuries. The handwriting is moderate in legibility, with some variations in letter size and spacing. There are no special features such as margin notes, crossed-out words, multiple columns, or stamps visible in the image.","ningun mal ni daio,
Mas que le hiziera mas bien.
E. masne","ningún mal ni daño,
Mas que le hiziera más bien.
E. masne",0.1404,0.6154
Rodrigo_00332_20.png,alçado en Nauarra con los de Alaua y el rei saco su hueste,"The language used is Old Spanish, and the handwriting style suggests it is from the late medieval to early modern period, likely between the 15th and 17th centuries. The legibility is moderate, with some characters being slightly difficult to decipher. There are no special features such as margin notes, crossed-out words, multiple columns, or stamps visible in the image.",alcado en Navarra conlos de Alava y el rei saco su hueste,alcado en Navarra con los de Alava y el rey sacó su hueste,0.0862,0.3846
Rodrigo_00300_16.png,y los otros ymbiaronles a dezir como eran moros e qe los ve,"The language is Spanish, and the script appears to be from the late medieval to early modern period, likely between the 15th and 17th centuries. The handwriting is moderate in legibility, with some variations in letter size and spacing. There are no special features such as margin notes, crossed-out words, multiple columns, or stamps visible in the image.",y los otros ymbiaron les a desir como eran moros y q los ve,y los otros ymbiaronles a desir como eran moros y que los ve,0.0508,0.2308
Rodrigo_00080_08.png,"mas de la su vida, ouiesse paz con los Romanos. E quādo","The language is Spanish, and the script appears to be from the late medieval to early modern period, likely between the 15th and 17th centuries. The handwriting is moderate in legibility, with some variations in letter size and spacing. There are no special features such as margin notes, crossed-out words, multiple columns, or stamps visible in the image.","mas dela su vida, ouiese paz con los Romanos.
E quando","mas de la su vida, ouyese paz con los Romanos.
E quando",0.0909,0.3333
Rodrigo_00290_00.png,E tanto fue el quebranto qe abdelmelic fizo de Aquella vez en 142,"The document appears to be written in Spanish, using a cursive script that suggests it could be from the 16th to 18th century. The handwriting is moderately legible, with some letters that are slightly difficult to decipher. There are no special features such as margin notes, crossed-out words, multiple columns, or stamps visible in the image.",En tanto fue el quebranto que abdelmehic hizo de aquella vez en,En tanto fue el quebranto que Abdelmehic hizo de aquella vez en,0.1538,0.4615
Rodrigo_00394_11.png,edo En Romeria y enfermo alli y traxeronlo A leon y en,"The document appears to be written in Spanish, using a cursive script that suggests it could be from the 16th or 17th century. The handwriting is moderate in legibility, with some letters and words more clearly formed than others. There are no visible margin notes, crossed-out words, multiple columns, or stamps in the provided image.","edo
En
Romecia
y
enfermo
alli
y
traxeron
lo
Alcon
yen","---
edó
En
Romecía
y
enfermo
allí
y
traxeron
lo
alcon
yen
---",0.4815,1.0000
Rodrigo_00323_08.png,nos deste locario alçaronse contra el e tomaronle por fuer,"The document appears to be written in Latin script, likely from the medieval or early modern period, judging by the style of handwriting. The legibility is moderate, with some words being more difficult to decipher due to the cursive nature of the script. There are no visible margin notes, crossed-out words, multiple columns, or stamps in the image.",nos deste locario alcaronse contra el y tomaron le por fuer,nós deste locario alcaronse contra él y tomaron le por fuer,0.0862,0.6000
Rodrigo_00125_06.png,"e los otros querian a Alarico, e por esta desauenencia se matarō","The language is Spanish, and the script appears to be from the late medieval to early modern period, likely between the 15th and 17th centuries. The handwriting is moderately legible, with some variations in letter size and spacing. There are no special features such as margin notes, crossed-out words, multiple columns, or stamps visible in the image.","y los otros querian a Alarico, y por esta desavenencia se mataro","y los otros querían a Alaric, y por esta desavenencia se mataron",0.1094,0.5000
Rodrigo_00365_19.png,asturias e las montañas con castilla vieja señera a,"The language is Spanish, and the script appears to be a form of late medieval or early modern cursive handwriting, possibly from the 16th or 17th century. The legibility is moderate, with some parts of the text being clear while others are more difficult to decipher. There are no margin notes, crossed-out words, multiple columns, or stamps visible in the image.",asturias y las montañas con castilla vieja senera a,asturias y las montañas con Castilla Vieja Senera a,0.0980,0.4444
